MutTable_Hydro_GeneName	pLI	mis_z
FSIP1	7.70E-14	-4.37E-01
SPAG8	1.68E-12	5.68E-01
ZNF234	1.69E-12	1.15E+00
SUN5	7.75E-14	6.88E-01
MRPS35	3.05E-09	-3.02E-01
ICAM2	7.50E-04	4.06E-01
ZNF16	1.65E-12	1.22E-01
EEF1AKMT2	2.25E-07	2.53E-01
HEPACAM2	1.57E-10	2.52E-01
MGST3	2.03E-04	9.52E-01
ZNF141	1.04E-01	2.24E-01
ADGRE2	2.76E-28	6.54E-01
MYOC	7.63E-12	5.20E-01
IGSF23	9.66E-03	8.20E-01
UMOD	3.08E-17	9.98E-01
FBLIM1	5.39E-05	5.26E-01
ARL6IP5	1.04E-01	3.74E-01
ECHDC2	1.55E-10	9.37E-02
PCSK1N	5.32E-01	8.13E-01
C11ORF96	9.63E-03	7.78E-01
RNF7	3.29E-02	1.56E+00
PIGM	5.39E-05	-8.11E-02
TRIM50	1.55E-10	1.27E-01
LRRC74A	1.55E-14	-6.33E-02
TEKT2	7.43E-12	-5.14E-01
AOC2	3.26E-15	-1.22E+00
ZNF14	1.04E-01	3.58E-01
CD82	1.27E-08	8.99E-02
GATS	9.61E-03	2.63E-01
ARV1	3.59E-06	1.92E-01
IRAK2	2.61E-19	-6.32E-02
MELK	4.51E-22	8.97E-01
P3H4	1.50E-10	4.98E-01
UPB1	7.36E-12	-8.66E-01
OPTN	5.91E-18	6.22E-01
CARD6	3.39E-13	-4.14E-01
SDHC	2.01E-04	8.25E-01
SPATS1	8.96E-07	8.35E-01
TIGD4	5.34E-08	1.56E-01
MRPL51	3.28E-02	1.95E-01
KRT73	7.20E-12	-4.38E-01
PYCR1	1.99E-04	1.73E-01
NUDT11	1.03E-01	1.46E+00
INIP	3.27E-02	1.27E+00
SOWAHD	5.31E-01	7.80E-01
HIGD1A	3.27E-02	1.48E-01
SRFBP1	7.13E-12	-1.62E+00
HOXB6	7.38E-04	1.40E-01
ACSM5	1.17E-18	-6.21E-01
GFRAL	6.52E-10	-6.30E-01
PEPD	1.46E-14	-1.80E-01
LY6G6D	3.26E-02	1.04E-01
PRAMEF12	5.27E-05	-1.13E+00
SUPT3H	3.24E-11	1.15E-01
CHRNA2	6.45E-10	-3.01E-01
KLHL17	1.31E-16	-5.71E-01
FFAR4	1.36E-05	6.32E-01
ZPBP2	1.22E-08	4.21E-01
TSHR	3.04E-15	3.34E-01
WDR73	2.82E-09	-4.61E-01
CDK3	2.14E-07	6.28E-01
POTEC	1.44E-10	-8.66E-01
SLC22A14	3.17E-13	1.39E-01
SLC6A20	2.66E-17	4.97E-01
GAMT	9.48E-03	-8.72E-02
PRAP1	3.25E-02	3.78E-01
NDUFB5	7.31E-04	-1.23E-02
TBC1D3	5.31E-01	4.91E-01
PLIN1	3.15E-11	-9.30E-01
C16ORF92	3.24E-02	1.61E-01
RNF144B	6.35E-10	5.31E-01
TCP11L2	1.47E-12	-1.30E-01
FAM234A	1.46E-12	-7.34E-01
RNPEP	2.61E-17	6.87E-01
MTERF1	8.61E-07	-6.94E-01
MRNIP	1.34E-05	-2.73E-01
FFAR2	9.42E-03	1.22E-01
CEP63	6.24E-25	-9.83E-02
TMEM17	9.43E-03	4.09E-01
PON3	2.10E-07	-4.62E-02
METTL5	5.17E-05	5.59E-01
CRYBA2	1.95E-04	-3.80E-01
GEM	1.18E-08	1.17E-01
HTR3D	5.02E-08	6.54E-01
GDF5OS	2.64E-03	8.14E-01
HAVCR1	8.51E-07	-7.75E-03
PIPOX	6.64E-12	2.37E-01
DACT2	9.40E-03	1.40E+00
SLC36A2	6.15E-10	7.84E-02
GPATCH3	6.40E-14	-2.26E-01
NLRP8	6.08E-25	-8.53E-01
ANKRD30A	2.69E-45	-2.83E+00
MST1R	7.87E-37	6.82E-01
TRIM16L	3.39E-06	-1.40E-01
EXD1	6.40E-14	-1.12E-01
EPHX2	1.79E-21	2.38E-01
KRT77	1.42E-12	-4.63E-01
GPR160	7.23E-04	2.11E-01
RIPPLY2	9.39E-03	-5.55E-01
YARS2	3.00E-11	2.64E-01
PIGF	7.20E-04	-5.55E-01
IDH3B	2.99E-11	4.19E-01
GPR25	9.38E-03	1.68E+00
PLBD1	1.18E-16	7.78E-01
SPEM1	1.33E-05	2.31E-02
ANXA3	6.52E-12	1.09E-01
ZFAND1	4.93E-08	-9.99E-04
CLIC1	1.93E-04	1.43E+00
SCN1B	1.02E-01	1.22E+00
ZNF239	2.05E-07	1.78E-01
DNPH1	3.21E-02	6.38E-01
HAO2	6.00E-10	-6.90E-02
ZNF474	7.18E-04	-1.53E+00
TAS2R7	3.21E-02	-1.06E+00
GNL3	1.99E-19	2.83E-01
PDZD3	1.35E-12	4.22E-01
PCDHGA2	5.47E-16	-1.45E-01
RAC3	2.61E-03	1.46E+00
SERPINA7	2.61E-03	-6.56E-01
PMS2	4.52E-27	-5.57E-01
DGCR6L	5.06E-05	5.35E-01
MS4A1	5.08E-05	1.43E-01
MLLT11	5.29E-01	1.03E-01
CYP3A7	6.12E-14	-2.68E-01
ZNF467	2.62E-09	2.38E-01
RMDN1	5.90E-10	-3.38E-01
LPAR6	7.13E-04	1.14E-01
NMUR1	5.04E-05	2.32E-01
P2RX5	2.85E-13	-7.42E-01
CAVIN4	5.05E-05	-6.32E-01
MEOX1	1.91E-04	-2.61E-01
PRG2	1.91E-04	3.15E-01
DCDC1	4.79E-08	-4.29E-02
DCTD	7.09E-04	1.76E-01
NXPE2	1.12E-08	1.62E-01
SCGB1D2	2.70E-01	-3.80E-01
GREM2	3.18E-02	1.23E+00
SFTPA2	9.25E-03	-1.16E+00
TIMMDC1	1.11E-08	4.39E-03
MUC15	5.01E-05	-5.59E-01
OXTR	7.11E-04	1.16E+00
BPIFB6	2.81E-13	-3.07E-01
BMP8B	1.90E-04	6.67E-01
FBXW8	5.24E-16	1.19E-01
DPH5	8.11E-07	4.81E-01
NDUFC1	1.01E-01	-6.51E-01
GBP6	5.23E-16	-1.35E-03
ALKAL2	3.18E-02	-7.01E-01
FSBP	7.07E-04	1.57E+00
LMF1	5.14E-16	-1.79E+00
FAM221B	1.11E-08	7.86E-01
BBOF1	1.07E-16	1.05E+00
VAMP3	2.59E-03	1.18E-01
GTF2A1L	2.78E-11	-1.36E+00
STAMBPL1	1.20E-14	2.66E-01
ACAD8	5.64E-14	2.22E-01
OAS3	1.97E-33	2.55E-01
SLITRK6	5.70E-14	-3.81E-01
DUOX2	4.50E-56	-1.17E+00
SULT1E1	1.97E-07	1.21E-01
PPP1R32	2.44E-15	1.87E-02
BATF3	3.17E-02	1.03E+00
RUBCNL	4.36E-18	2.66E-01
SLCO1A2	1.06E-16	6.68E-02
FSD2	1.53E-21	2.52E-01
ADH4	8.07E-07	3.25E-02
TNFRSF13C	2.70E-01	6.45E-01
PNPLA4	2.57E-03	-1.46E-01
RFLNB	2.70E-01	-1.17E-01
ZFR2	9.76E-26	-8.88E-03
FGF11	1.88E-04	3.68E-01
PXMP2	9.18E-03	-4.95E-01
NUTM2G	5.63E-10	-3.95E-01
BEX2	1.01E-01	-1.38E-02
RHBDD3	4.95E-05	1.02E-01
UTS2	3.16E-02	2.84E-01
PLLP	9.19E-03	8.74E-01
ZNF44	2.57E-03	5.61E-01
YJEFN3	1.27E-05	-1.18E-01
CCDC84	5.47E-14	4.94E-02
RRP8	1.23E-10	-1.18E+00
VWA5B1	9.14E-33	9.74E-01
PGLYRP2	2.68E-11	1.07E+00
KRT6B	5.52E-10	-2.23E+00
CPA1	2.66E-11	1.04E+00
ANGPTL1	1.21E-10	4.79E-01
GLUD2	3.15E-02	8.25E-01
CDHR3	2.31E-24	-1.30E-01
GLDN	2.58E-13	-1.30E-01
OC90	5.68E-12	-1.01E+00
OC90	5.68E-12	-1.01E+00
CLCA2	1.47E-28	3.73E-01
REEP5	6.97E-04	7.60E-02
CD55	5.68E-12	9.23E-01
PSAT1	1.06E-08	4.13E-01
INPP1	7.90E-07	1.18E+00
KIF4B	4.63E-25	-6.25E-01
CLDN18	1.87E-04	6.07E-01
TRIM74	9.14E-03	6.52E-01
APEX1	1.92E-07	1.21E-01
TMEM206	5.41E-10	4.50E-01
ABCC12	4.57E-49	-9.21E-02
MARC1	4.52E-08	5.84E-01
SERGEF	5.29E-14	4.72E-01
SMPDL3B	2.41E-09	6.90E-01
ZADH2	2.54E-03	-6.64E-01
EFHD2	9.10E-03	9.63E-01
URM1	3.13E-02	4.26E-01
MCFD2	1.00E-01	-5.75E-01
RPS27L	1.00E-01	7.91E-01
HTR6	1.85E-04	3.43E-01
PPA2	1.18E-10	4.35E-01
C3ORF22	1.00E-01	-3.78E-02
SORD	4.49E-08	-3.51E-01
TMEM43	1.16E-12	-4.22E-01
OMD	1.24E-05	7.56E-01
SH3TC1	6.09E-35	-2.15E+00
TMEM160	9.99E-02	1.06E+00
DHRS12	1.04E-08	2.51E-01
MED31	6.88E-04	1.32E+00
KRBA2	1.88E-07	4.56E-01
MTERF3	1.03E-08	-1.17E-01
GMPR2	1.03E-08	8.00E-01
DPEP3	5.27E-10	1.01E+00
PTGES2	2.36E-09	9.02E-01
MINDY1	4.55E-16	1.21E+00
SLC25A18	1.87E-07	6.17E-01
GINS1	7.70E-07	2.21E-01
FAM228B	1.86E-07	8.12E-01
BCO2	3.78E-18	4.10E-01
ERFE	2.52E-03	6.66E-01
BMP15	1.83E-04	6.99E-02
STEAP1B	1.24E-05	4.23E-01
FADD	5.26E-01	8.37E-01
CDHR5	7.74E-19	-1.20E+00
MESP2	3.11E-06	1.87E-01
ARHGEF39	1.13E-10	5.69E-01
DDIT4	6.83E-04	1.05E-01
TSPYL4	1.23E-05	7.40E-01
GPX4	4.79E-05	-1.08E+00
SLAMF9	1.23E-05	-1.13E-01
PHF11	4.35E-08	1.04E+00
NTPCR	2.51E-03	3.00E-01
FEN1	4.77E-05	1.36E+00
PARVB	2.38E-13	9.67E-02
ZNF488	3.09E-06	-1.43E-01
GOT1L1	5.18E-10	-4.17E-02
SSX3	9.03E-03	-4.84E-01
TMEM177	8.99E-03	3.18E-01
YIPF2	4.32E-08	-1.42E-01
FCRL3	5.97E-21	-1.17E+00
TTC32	3.11E-02	-6.02E-01
GALNT15	3.65E-18	-2.26E-01
MEP1B	1.94E-24	7.17E-01
MCM7	1.94E-24	-7.23E-01
JPT1	2.51E-03	5.98E-01
SUMF2	9.97E-09	-5.27E-01
MCHR1	4.74E-05	-7.49E-01
ABHD18	1.09E-12	9.86E-01
DAPK2	5.01E-10	3.52E-01
CRHR2	8.55E-17	7.49E-01
GM2A	3.10E-02	-2.98E-01
SLC16A8	8.97E-03	9.28E-01
KRCC1	6.79E-04	6.97E-01
SAMD11	4.77E-14	-3.44E+00
C1QTNF3	1.81E-07	1.10E+00
LIM2	6.78E-04	-6.67E-01
FGF23	3.10E-02	3.98E-01
FPGT	1.09E-10	-9.00E-01
NAA40	9.79E-09	1.24E+00
CDH16	3.65E-25	-3.02E-01
TEPSIN	9.82E-09	-8.00E-02
TRABD2A	2.24E-09	4.54E-01
MYBPH	2.25E-13	3.29E-01
MAIP1	3.02E-06	6.80E-01
PRELP	4.71E-05	7.41E-01
PDCD1LG2	1.20E-05	-6.67E-01
NIF3L1	9.72E-09	-2.19E-01
SDHAF4	9.89E-02	2.49E-01
CNKSR1	4.29E-30	5.69E-01
EXOSC6	5.25E-01	-5.90E-01
PRDX5	1.79E-04	8.20E-02
OXLD1	2.66E-01	-3.01E-01
P2RX4	4.98E-12	7.79E-01
RERG	1.20E-05	3.47E-01
ARRDC2	2.20E-09	7.78E-01
CHST12	4.66E-05	1.48E-01
ADPRH	2.99E-06	2.00E-01
NME5	6.72E-04	4.14E-01
CCDC69	4.91E-12	-3.27E-01
MYMK	1.78E-04	7.61E-01
ADCK1	9.48E-15	-3.05E-01
ANGPTL4	2.31E-11	4.39E-01
LITAF	3.08E-02	2.24E-01
IL18	3.07E-02	1.52E+00
ZNF132	1.03E-12	-6.00E-01
POLE3	3.07E-02	1.44E-01
LDOC1	5.24E-01	1.56E+00
NUPL2	9.51E-09	-2.61E-03
RNF125	4.64E-05	7.83E-01
LEXM	2.14E-13	1.97E-01
COA1	8.83E-03	4.40E-01
KCNJ1	4.63E-05	-2.77E-01
TECTB	4.77E-10	-1.21E-01
MB	3.06E-02	5.10E-01
ERMN	1.18E-05	-1.58E-01
ANKDD1A	7.74E-17	6.45E-01
C11ORF49	2.24E-11	1.23E-01
MKKS	2.13E-09	-5.20E-02
GTDC1	1.01E-12	-1.50E-01
TTLL9	3.20E-18	4.36E-01
TTC7A	1.54E-31	-7.75E-01
ASB15	1.84E-15	5.52E-01
BPIFB2	4.75E-12	3.25E-01
EPHA10	1.24E-26	9.06E-01
UGT1A5	9.37E-09	-2.96E-01
TMPRSS11A	1.83E-15	4.98E-01
SLC41A3	2.07E-13	5.94E-01
ZNF732	9.82E-02	-5.20E-01
C17ORF98	8.82E-03	3.11E-01
EGFL6	9.98E-13	6.37E-01
SERP1	2.65E-01	9.00E-01
OR5P3	9.82E-02	-1.07E+00
TAS1R2	7.61E-17	-5.72E-01
NSG1	8.83E-03	-3.69E-01
TTC9C	1.76E-04	-7.99E-01
CASP10	4.64E-12	2.69E-02
ATP13A5	2.41E-49	6.06E-01
PRPSAP1	1.71E-07	1.67E+00
RHOF	1.76E-04	8.74E-01
UNC5CL	2.04E-13	8.30E-01
PCK1	8.75E-15	-4.30E-02
PEBP4	4.58E-05	-6.66E-01
CBLN3	6.62E-04	2.13E-01
NARF	9.78E-13	-3.78E-02
PMEL	3.06E-18	8.94E-01
TMEM192	2.93E-06	-7.56E-02
SYNDIG1L	8.79E-03	2.13E-01
MACC1	6.01E-19	-1.29E+00
ZNF442	3.05E-02	-7.16E-01
MBLAC2	4.54E-05	5.92E-01
HAPLN2	7.12E-07	1.31E+00
SAMD10	6.59E-04	7.90E-01
FAM19A4	6.60E-04	-1.11E-01
CES2	3.58E-16	3.72E-01
FCHSD1	1.35E-31	7.98E-01
ADAMDEC1	3.63E-16	-8.54E-02
ASPRV1	8.78E-03	1.30E-01
PECR	4.00E-08	4.74E-02
B3GLCT	7.14E-17	3.92E-01
TVP23A	1.69E-07	1.04E-01
SRD5A1	1.16E-05	5.90E-01
EMC6	5.23E-01	1.15E+00
CFAP77	1.69E-07	-1.61E-01
NSUN3	9.04E-09	3.06E-01
TRIML2	1.15E-05	1.21E-01
MYL6	6.53E-04	8.54E-01
TAF1C	1.46E-24	-2.29E+00
BPIFB4	4.70E-21	-7.24E-01
CASP14	2.87E-06	-1.75E-01
C15ORF65	2.64E-01	6.41E-01
ORM1	1.15E-05	-3.39E-01
MMAA	9.40E-13	3.31E-01
RMND5B	1.95E-13	7.06E-01
OR51F1	3.03E-02	-5.12E-01
PON1	9.81E-11	7.25E-01
MICU1	1.93E-13	1.65E+00
DYTN	5.72E-19	-3.94E-01
HSPA1A	3.02E-02	1.43E+00
FAM200B	2.01E-09	8.90E-01
CDK11A	1.39E-17	-8.28E-01
TSPAN11	6.95E-07	6.37E-02
RAB32	6.51E-04	-2.56E-01
IQCJ	6.52E-04	-8.02E-01
FAM32A	3.03E-02	1.43E+00
GPR153	6.88E-07	6.69E-01
MISP	4.31E-12	-1.17E+00
CILP	5.37E-26	1.70E-01
C1QTNF9	1.14E-05	5.69E-01
PLA2G2A	9.73E-02	6.84E-01
CD207	2.82E-06	1.71E-02
CLEC4E	1.14E-05	1.17E-01
DUSP13	1.13E-05	3.22E-01
NRTN	3.02E-02	6.79E-01
AVPR1A	6.90E-07	-1.35E-02
KLK7	6.47E-04	-3.22E-02
MRPL35	2.39E-03	5.92E-02
CCZ1B	8.97E-13	3.50E-01
MTNR1B	6.48E-04	-4.54E-01
CALCB	9.71E-02	-5.67E-02
C20ORF27	8.66E-03	7.18E-01
LRRC28	2.01E-11	-2.57E-02
OPN4	9.01E-13	-4.79E-01
MB21D1	8.69E-09	8.80E-01
ZNF793	1.96E-09	9.63E-02
MEPE	8.63E-03	1.88E-01
CCDC63	5.27E-19	2.35E-01
SELENBP1	3.23E-16	4.49E-01
CCDC102B	3.22E-16	-5.51E-01
APMAP	9.33E-11	7.75E-01
FNDC8	1.71E-04	4.25E-01
ZNF573	1.99E-11	3.51E-01
C7ORF72	3.77E-08	7.10E-01
SYNE4	4.19E-12	4.92E-01
LMAN2L	1.96E-11	1.88E-01
PSRC1	8.56E-09	3.21E-01
C4BPB	4.40E-05	4.63E-01
GPR62	2.62E-01	1.52E+00
GPR171	1.70E-04	1.20E+00
S1PR4	2.38E-03	7.89E-02
GPR119	8.62E-03	1.24E+00
ALPP	1.81E-13	-4.48E-01
RNF187	9.67E-02	1.29E+00
ZNF430	8.62E-03	8.35E-01
LRRC69	1.12E-05	6.04E-01
LRRC72	2.78E-06	4.87E-01
CENPO	1.89E-09	4.04E-01
HTR1D	6.41E-04	8.99E-02
FRMD1	3.67E-14	-8.87E-02
ERCC1	1.59E-07	6.64E-01
ZNF20	9.66E-02	6.47E-01
PCDHB3	1.59E-07	1.58E-01
KRT20	9.08E-11	3.69E-01
MAVS	6.70E-07	5.22E-01
CAPS2	6.07E-24	-8.66E-02
ARHGDIB	6.38E-04	4.38E-02
DNMT3L	8.42E-13	1.03E-01
ANGPTL5	4.13E-10	-4.72E-01
NDUFS6	9.64E-02	-2.17E-01
DZIP1L	2.39E-25	1.01E-01
WDR90	1.26E-64	-9.26E-01
ZAR1	4.35E-05	8.77E-01
RNF215	1.87E-09	5.00E-01
IL20RB	3.65E-08	6.12E-01
KIAA0141	1.22E-17	7.17E-01
IL36A	2.98E-02	-2.94E-01
OR52E2	9.62E-02	-9.15E-01
IL19	4.33E-05	6.68E-01
NSUN5	8.24E-13	1.75E-01
CFHR4	2.38E-18	-1.17E+00
OGG1	3.93E-12	-5.72E-01
SSX4	5.20E-01	-4.17E-01
ZNF76	4.76E-19	4.55E-01
OR10AD1	8.52E-03	-1.81E-01
ALDH1B1	2.70E-06	-2.27E-01
PRNP	6.32E-04	1.18E+00
CHD1L	1.00E-36	-5.80E-01
SLC22A12	1.69E-13	3.72E-01
RIT2	6.32E-04	8.90E-01
ZNF285	1.67E-04	-1.27E+00
BTNL2	8.56E-11	1.50E+00
METTL24	1.09E-05	4.91E-01
TCF15	5.20E-01	1.13E+00
APTX	3.99E-10	-3.67E-01
PVR	3.92E-10	9.99E-01
RBM48	1.53E-07	3.22E-01
ANGPTL3	1.65E-13	-9.42E-02
CELA3A	8.05E-09	-7.90E-01
PTGR1	3.54E-08	4.12E-01
HAUS1	3.55E-08	-6.03E-02
MORN3	1.54E-07	6.16E-01
REG3A	6.29E-04	-2.03E-01
PMP2	8.47E-03	9.96E-02
ZC2HC1C	1.80E-09	-1.12E-02
FAM124B	1.07E-05	6.78E-01
HIST1H3C	2.61E-01	1.19E+00
TRIM64B	1.07E-05	1.34E+00
C1ORF159	1.65E-04	5.30E-01
NOL7	3.53E-08	4.67E-01
GPRC6A	5.59E-17	1.78E-01
ENDOU	3.24E-14	6.53E-01
NME9	7.89E-09	9.61E-01
PLD4	7.73E-13	-1.67E-01
XYLB	1.36E-22	2.10E-01
EIF4E1B	6.39E-07	6.19E-01
NAGA	1.77E-11	1.69E-01
PPIL6	1.75E-09	-2.41E-01
FGF21	2.94E-02	-2.96E-01
OR8B12	2.60E-01	2.05E-01
AFM	4.27E-19	-5.78E-01
FAM103A1	8.40E-03	-6.74E-01
REM2	1.06E-05	1.26E+00
OR56A4	8.41E-03	-4.23E-01
BTD	1.50E-07	-5.25E-01
OR2D3	8.41E-03	-3.43E-01
DNAJB8	9.52E-02	-5.17E-01
UBE2T	1.06E-05	3.16E-01
CLEC4A	4.19E-05	5.45E-01
ZSCAN9	1.72E-11	6.24E-01
TRIM15	7.76E-09	4.12E-01
C7ORF49	2.60E-01	2.94E-01
HAL	2.50E-23	-2.59E-01
TMCO4	1.67E-20	1.81E-01
ACAA2	3.71E-10	-2.71E-01
MRPL18	1.62E-04	-3.55E-01
IGFLR1	2.59E-06	-8.05E-01
IGSF22	3.96E-41	1.20E+00
AS3MT	7.98E-11	9.62E-01
NAIP	1.62E-04	4.10E-01
CLECL1	2.59E-01	1.70E-01
BEST2	1.52E-13	1.42E+00
PRAMEF11	6.16E-04	-3.69E+00
PRB3	6.24E-07	-9.93E-01
SLURP1	2.59E-01	5.91E-01
PLAC8L1	8.33E-03	8.57E-01
DIABLO	2.57E-06	-1.12E+00
KLRC1	4.14E-05	-7.21E-02
XAGE3	9.49E-02	-5.79E-01
CLEC4F	3.07E-14	-2.57E-01
MS4A6E	2.92E-02	-5.04E-01
CFTR	2.17E-58	-3.14E+00
PPP1R3F	4.15E-05	2.13E-01
CCDC77	8.03E-20	3.12E-01
FAM212A	6.14E-04	7.99E-01
LRWD1	1.57E-20	-2.29E-01
METRN	9.47E-02	5.43E-01
SHPK	7.22E-13	-1.66E-01
LRRC3C	2.92E-02	5.67E-01
OPRM1	7.89E-11	-6.19E-01
AKR1B10	7.57E-09	-1.93E-01
FRG1	6.14E-07	1.82E-01
DNAJC19	6.13E-04	8.76E-01
DXO	3.64E-10	9.11E-01
PLIN2	7.53E-09	-9.56E-01
RGL4	7.14E-13	-2.76E-01
UCHL3	3.34E-08	1.04E+00
RECQL	1.53E-20	2.49E-01
OLIG2	9.46E-02	1.66E+00
CANT1	2.54E-06	4.88E-01
IL1A	1.60E-04	5.41E-01
SUSD3	6.09E-04	1.07E+00
CLYBL	1.64E-09	-7.88E-02
ZNF581	9.45E-02	9.22E-01
YY1AP1	1.95E-18	-1.18E+00
NLRP9	8.86E-25	-6.43E-01
FOXD2	2.90E-02	1.00E+00
CAV1	8.27E-03	6.69E-01
SERPINB7	7.38E-09	-5.32E-01
OGFOD3	1.63E-09	5.57E-01
CLUL1	1.61E-11	6.39E-01
CDHR1	2.84E-21	-6.97E-01
DHRS4	1.02E-05	-1.51E+00
KRT37	3.52E-10	-3.58E-01
TRIM77	1.02E-05	1.22E+00
GDF3	4.07E-05	-1.16E-01
ZNF674	6.04E-07	1.06E+00
CRYGC	6.06E-04	-6.04E-01
WDR54	1.57E-11	4.41E-01
SLC1A7	7.53E-11	7.38E-02
SULT1B1	3.26E-08	-4.45E-01
CSRP3	1.59E-04	-1.39E-01
OPRK1	4.06E-05	4.64E-01
PCDHB1	7.53E-11	1.02E+00
PRSS37	2.49E-06	3.43E-01
TTC31	2.29E-16	-3.54E-01
C17ORF62	6.03E-04	4.69E-01
DPEP1	3.47E-10	-1.12E+00
DDX25	1.81E-18	1.21E+00
AGTR2	8.23E-03	-7.23E-02
VPS9D1	7.21E-20	-1.51E-01
TAS2R40	2.89E-02	2.33E-01
FXYD3	1.01E-05	8.63E-02
ZWINT	7.27E-11	-5.02E-01
AP4M1	4.49E-17	-1.21E+00
MFSD10	7.33E-11	-7.45E-01
TPRKB	8.21E-03	1.01E-01
TECRL	3.20E-12	-4.15E-01
PI16	7.14E-09	1.05E+00
CCDC137	5.91E-07	-5.84E-01
KLF8	2.25E-03	3.81E-01
OR6S1	2.88E-02	-9.82E-01
RCAN3	1.57E-04	6.30E-01
NKX6-2	2.89E-02	-1.39E-01
ZNF511	1.57E-04	6.05E-01
TEX30	6.02E-04	3.58E-01
NFE2L3	7.18E-11	-3.75E+00
C6ORF58	7.10E-09	1.87E-01
ADRA1D	4.01E-05	6.01E-01
ZP4	1.74E-18	-1.24E+00
MPDU1	1.01E-05	4.40E-01
CARTPT	9.37E-02	3.43E-01
MTERF2	2.46E-06	-2.43E-01
MARCH8	5.87E-07	1.04E+00
SLC35E3	5.83E-07	1.24E-01
INSC	1.71E-18	-1.90E-01
PTCD2	7.13E-11	1.28E-01
CYP2C18	3.34E-10	-7.60E-01
NHLH1	2.57E-01	1.04E+00
RANBP17	7.17E-45	-1.11E+00
CMTM1	2.24E-03	4.25E-01
ALPPL2	1.49E-11	1.60E-02
NAXE	2.44E-06	6.06E-01
FIGLA	2.23E-03	8.46E-02
CHRNG	3.33E-19	-1.18E-01
SAGE1	8.57E-18	-3.90E-01
ACCSL	8.52E-18	2.64E-01
FAM89A	2.57E-01	2.41E-01
MINOS1-NBL1	2.87E-02	1.53E+00
MRPL46	1.36E-07	-6.56E-01
TMEM18	2.22E-03	8.39E-03
CLEC4C	5.77E-07	6.96E-01
ASCC1	2.61E-14	8.38E-01
FEV	8.11E-03	1.43E+00
ARL13A	5.92E-04	1.05E+00
UBE2U	1.35E-07	3.15E-01
SLC2A11	6.23E-13	5.17E-01
CD84	6.91E-09	2.16E-01
EPYC	5.75E-07	-2.64E-01
CDA	8.10E-03	2.97E-01
NAGPA	3.01E-12	-1.37E+00
FKRP	9.84E-06	1.85E+00
ZFP37	6.12E-13	3.50E-01
C6ORF222	1.25E-20	-9.81E-01
DPEP2	3.22E-10	3.31E-01
KRT12	2.53E-14	5.70E-01
SELP	5.04E-32	-2.56E-01
PRSS21	1.32E-07	-6.44E-01
GPR137B	1.42E-11	-2.40E-01
PGC	6.75E-11	4.84E-02
PGM1	5.06E-15	-2.28E-01
SLC25A32	6.76E-09	3.69E-01
CPA3	2.04E-16	-6.95E-01
KLK1	1.53E-04	4.43E-01
JMJD4	1.49E-09	-8.41E-01
CD33	5.69E-07	-1.41E-01
TRAPPC6B	1.53E-04	1.07E-01
FOXRED1	1.99E-16	-4.02E-01
TRIM42	3.07E-19	3.92E-01
KRTAP10-7	9.71E-06	-1.66E+00
BOP1	9.28E-02	-2.65E-01
SLC25A2	2.20E-03	6.59E-01
PDXP	2.56E-01	9.04E-01
PRDM9	4.83E-27	-7.46E-01
BCDIN3D	3.87E-05	2.26E-01
LRAT	2.84E-02	-2.06E-02
TCP10L2	2.97E-08	-7.44E-01
TSPYL1	5.62E-07	4.25E-01
C4ORF48	5.14E-01	-2.13E-01
ADA	2.88E-12	1.18E-01
ZNF157	9.67E-06	3.14E-01
RAB41	5.83E-04	2.78E-01
KRT72	1.37E-11	-6.55E-01
TNFRSF4	1.51E-04	6.23E-01
PCYOX1L	6.56E-11	5.42E-01
PKIG	5.14E-01	8.33E-01
SLC29A3	1.29E-07	-4.77E-01
C15ORF61	9.25E-02	-1.34E-01
OTUD6B	1.28E-07	2.96E-01
GJB3	2.18E-03	-5.26E-01
SNX24	9.55E-06	3.46E-01
CTSG	9.56E-06	8.18E-01
PLPP7	8.00E-03	7.30E-01
OR6C2	9.23E-02	-1.23E+00
MRPL17	2.82E-02	-2.81E-01
ZNF160	2.82E-02	1.49E+00
ALKBH3	2.74E-12	8.45E-02
JMJD7-PLA2G4B	1.06E-40	-1.99E+00
PLA2G4B	1.06E-40	-1.99E+00
YRDC	2.18E-03	9.84E-02
TXNDC8	7.97E-03	-4.09E-01
SMAGP	2.54E-01	-2.80E-02
FAM71B	2.17E-03	5.85E-02
CCDC152	3.82E-05	1.18E+00
KIAA1143	7.96E-03	-3.79E-02
OR8B4	2.82E-02	4.26E-01
ANKRD29	6.35E-09	4.53E-01
ANGPT4	4.55E-15	-1.26E-01
MTFP1	7.95E-03	5.70E-02
KDM4E	5.13E-01	1.66E-01
CCNJL	1.27E-07	3.20E-01
STKLD1	1.57E-23	8.76E-02
ZNF134	1.26E-07	-4.52E-01
ZNF790	9.07E-16	-1.68E-01
MYO1A	8.90E-46	-4.95E-01
MNS1	2.10E-21	-4.39E-01
PIF1	1.83E-16	3.12E-01
MAMDC4	1.40E-51	-8.41E-01
SMTNL1	2.67E-12	4.26E-01
TMEM126A	2.16E-03	-5.67E-01
ELOB	9.18E-02	8.15E-01
CA12	1.28E-11	-1.84E-01
NRG4	2.80E-02	4.06E-01
ACOT2	9.33E-06	-6.98E-01
GSTT1	1.48E-04	1.92E+00
NOC2L	2.89E-29	-1.90E+00
ZMPSTE24	8.87E-16	3.72E-01
